Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2019-06-06,2057,75,69,0.0,96,11.0,1.2,91.56,151.7,0.76,0.79,77,79,79,78,72
2019-06-06,2091,76,71,1.95,73,11.0,2.9,81.53,168.4,0.89,0.83,77,77,78,76,72
2019-06-06,2085,77,71,1.56,95,12.0,4.4,41.18,74.47,0.78,0.82,75,74,73,70,56
2019-06-06,2084,76,71,2.86,94,12.2,3.0,67.48,139.3,0.78,0.83,76,76,76,64,71
2019-06-06,2215,68,47,0.0,41,25.5,6.0,363.53,742.3,0.2,0.51,58,59,54,47,46
2019-06-06,2189,86,65,0.0,34,15.2,4.4,343.76,702.0,0.31,0.95,95,92,88,81,75
2019-06-06,2187,86,56,0.0,31,18.1,4.9,316.03,571.2,0.22,0.84,76,76,72,67,60
2019-06-06,2191,72,50,0.0,43,19.1,4.3,324.24,586.0,0.22,0.53,68,66,63,59,57
2019-06-06,2218,69,45,0.0,43,17.7,5.3,246.4,503.1,0.19,0.47,72,72,72,68,59
2019-06-06,2149,82,59,0.01,30,18.8,5.1,251.42,519.1,0.22,0.79,68,67,67,62,60
2019-06-06,2197,80,43,0.0,60,16.8,5.2,330.24,674.3,0.3,0.62,65,64,63,58,54
2019-06-06,2173,74,70,0.78,41,9.1,2.5,52.12,107.6,0.33,0.79,75,76,77,78,73
2019-06-06,2068,92,62,0.0,56,10.5,1.3,286.36,517.6,0.5,1.01,69,68,66,61,54
2019-06-06,2092,73,65,3.59,96,16.9,4.1,48.41,87.53,0.7,0.73,71,63,71,69,66
2019-06-06,2094,83,64,0.47,86,29.1,4.0,193.71,350.1,0.67,0.8,69,68,66,61,57
2019-06-06,2093,85,64,0.0,69,14.4,4.3,264.98,479.0,0.56,0.84,69,68,66,61,56
2019-06-06,2005,82,70,0.0,92,11.0,2.6,122.16,220.81,0.8,0.87,78,76,74,71,67
2019-06-06,2002,87,56,0.0,62,12.6,4.7,328.29,677.91,0.46,0.86,61,60,58,54,50
2019-06-06,2032,84,71,0.53,94,11.8,3.8,109.02,244.93,0.85,0.91,79,78,77,78,72
2019-06-06,2086,85,70,0.58,94,11.2,3.4,137.78,284.51,0.87,0.94,78,79,78,76,72
2019-06-06,2117,71,47,0.21,56,27.6,13.4,305.51,664.73,0.26,0.5,65,68,67,60,53
2019-06-06,2121,89,52,0.03,50,26.9,8.1,294.91,694.15,0.33,0.78,68,67,65,60,55
2019-06-06,2180,82,71,4.44,98,17.1,5.5,54.25,110.78,0.9,0.92,78,78,72,81,80
2019-06-06,2119,70,49,0.21,68,37.1,9.1,230.83,543.44,0.36,0.54,62,61,59,54,51
2019-06-06,2118,75,49,0.17,52,32.2,10.0,266.82,628.03,0.28,0.58,71,68,67,60,53
2019-06-06,2001,87,64,0.0,82,13.6,2.2,181.95,328.88,0.69,0.89,70,67,62,54,58
2019-06-06,2145,80,46,0.0,41,11.9,2.6,199.98,412.9,0.21,0.66,56,57,53,51,48
2019-06-06,2141,76,60,0.0,24,23.3,3.1,332.99,687.7,0.16,0.71,69,68,64,58,53
2019-06-06,2020,85,51,0.0,45,15.2,6.3,302.95,713.38,0.34,0.82,57,55,52,49,44
2019-06-06,2072,89,62,0.0,47,11.2,3.3,321.33,534.4,0.39,0.94,65,65,64,56,52
2019-06-06,2075,74,69,0.21,99,9.4,2.8,85.26,154.11,0.76,0.76,76,77,77,75,71
2019-06-06,2106,83,53,0.0,67,17.7,6.1,314.19,648.8,0.42,0.73,75,71,75,74,71
2019-06-06,2105,82,55,0.0,36,15.4,5.3,340.0,702.0,0.43,0.74,73,73,72,71,69
2019-06-06,2178,79,72,0.69,96,11.6,3.0,77.3,157.8,0.83,0.86,80,81,67,82,77
2019-06-06,2200,87,58,0.01,66,15.2,3.8,262.14,535.3,0.48,0.84,75,75,74,72,70
2019-06-06,2202,82,63,0.0,77,18.7,5.6,277.0,565.6,0.59,0.81,74,73,72,70,66
2019-06-06,2138,81,56,0.0,37,24.8,4.9,358.08,842.92,0.24,0.73,66,67,66,61,59
2019-06-06,2135,79,55,0.02,60,28.4,6.8,231.66,473.0,0.36,0.65,66,66,63,59,53
2019-06-06,2136,83,47,0.13,65,41.6,6.9,216.35,509.35,0.37,0.65,66,66,62,56,52
2019-06-06,2150,68,48,0.22,62,26.6,7.4,250.25,575.93,0.27,0.46,51,51,50,48,45
2019-06-06,2125,80,40,0.0,55,23.0,5.0,301.42,709.54,0.27,0.6,59,62,60,54,51
2019-06-06,2130,77,51,0.0,40,22.6,5.1,302.95,705.2,0.24,0.66,64,62,62,57,53
2019-06-06,2128,87,46,0.0,45,25.8,8.0,303.86,620.5,0.27,0.8,74,71,68,63,56
2019-06-06,2126,82,44,0.0,64,22.6,2.8,230.49,542.64,0.33,0.58,59,58,57,53,50
2019-06-06,2181,82,75,0.82,96,14.3,5.8,77.1,157.49,0.96,1.0,78,79,78,77,75
2019-06-06,2165,83,52,0.1,54,32.2,6.0,237.78,559.74,0.34,0.71,64,64,65,59,53
2019-06-06,2160,75,46,0.06,59,39.8,6.1,268.13,624.15,0.32,0.6,60,59,57,54,52
2019-06-06,2164,85,52,0.0,44,30.5,9.0,295.73,696.2,0.27,0.78,75,74,71,63,57
2019-06-06,2166,77,49,0.0,37,17.0,5.3,320.24,745.56,0.22,0.63,64,62,60,56,52
2019-06-06,2127,90,49,0.0,42,25.7,6.5,245.05,506.0,0.29,0.84,67,67,65,60,56
2019-06-06,2155,77,48,0.16,63,24.1,3.5,193.42,455.32,0.34,0.58,64,61,62,57,53
2019-06-06,2140,88,56,0.0,31,31.4,5.7,371.35,874.15,0.23,0.88,73,72,70,65,61
2019-06-06,2129,88,47,0.0,45,27.8,8.7,278.64,655.96,0.28,0.8,66,64,61,57,54
2019-06-06,2133,82,44,0.14,66,30.1,5.8,189.02,386.0,0.33,0.58,67,66,66,60,54
2019-06-06,2134,73,43,0.03,55,24.1,5.8,206.07,425.5,0.27,0.51,59,58,58,53,52
2019-06-06,2056,76,70,0.4,94,6.9,1.0,43.27,78.18,0.75,0.8,70,72,72,64,67
2019-06-06,2137,83,50,0.0,53,27.2,5.1,220.25,518.47,0.33,0.68,61,59,58,55,52
2019-06-06,2157,78,39,0.0,60,21.9,5.1,295.9,696.54,0.26,0.53,52,52,50,48,47
2019-06-06,2132,78,48,0.0,52,20.0,4.6,226.56,533.41,0.31,0.64,72,69,69,63,58
2019-06-06,2159,96,64,0.0,26,21.1,5.8,276.44,643.53,0.25,1.15,89,86,84,81,72
2019-06-06,2154,81,50,0.0,53,22.7,4.4,268.09,624.04,0.32,0.68,74,69,69,63,56
2019-06-06,2158,87,58,0.0,29,23.9,7.7,313.55,738.04,0.22,0.9,78,77,74,69,63
2019-06-06,2163,90,59,0.0,30,31.3,10.4,257.77,606.82,0.25,0.98,82,80,77,72,64
2019-06-06,2139,76,47,0.0,45,16.1,4.6,306.12,720.59,0.25,0.61,65,65,62,57,53
2019-06-06,2018,85,45,0.0,58,18.3,5.8,328.17,586.6,0.34,0.74,70,70,63,59,54
2019-06-06,2179,75,69,0.66,99,13.4,2.6,72.07,130.3,0.77,0.78,71,71,70,70,67
2019-06-06,2115,77,70,0.48,98,15.6,3.4,81.12,146.6,0.82,0.83,77,77,77,76,74
2019-06-06,2026,101,61,0.0,26,18.1,4.8,319.66,577.7,0.3,1.22,86,84,83,80,74
