Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2019-11-12,2057,37,19,0.12,76,19.5,7.5,88.99,160.9,0.11,0.15,43,47,51,56,62
2019-11-12,2091,31,22,0.0,73,20.2,6.2,136.82,282.5,0.08,0.14,50,52,53,59,64
2019-11-12,2085,29,20,0.0,66,28.4,12.4,153.73,277.88,0.08,0.13,41,42,49,56,51
2019-11-12,2084,31,22,0.01,68,30.4,11.1,162.92,336.4,0.1,0.14,46,45,49,55,61
2019-11-12,2215,68,29,0.0,36,9.7,2.9,149.84,306.0,0.09,0.35,37,38,39,43,46
2019-11-12,2189,83,60,0.0,19,17.3,5.1,171.9,351.0,0.14,0.75,66,67,67,69,71
2019-11-12,2187,66,35,0.0,31,11.5,3.5,150.95,272.8,0.11,0.4,51,50,51,53,57
2019-11-12,2191,67,31,0.0,39,6.0,1.0,126.05,227.8,0.11,0.33,41,44,48,52,61
2019-11-12,2218,67,57,0.0,42,5.5,1.1,91.58,187.0,0.23,0.54,58,58,58,59,60
2019-11-12,2149,71,45,0.0,25,11.0,3.8,147.35,304.3,0.11,0.49,51,52,53,56,59
2019-11-12,2197,54,-5,0.04,51,14.0,4.8,134.36,274.4,0.05,0.18,32,33,35,42,47
2019-11-12,2173,32,18,0.0,71,16.5,4.6,155.59,321.3,0.1,0.14,40,43,51,56,60
2019-11-12,2068,24,-3,0.0,72,19.3,7.2,116.33,210.3,0.06,0.08,33,35,38,44,50
2019-11-12,2092,33,10,0.0,61,13.0,4.6,168.86,305.2,0.07,0.13,45,38,51,52,57
2019-11-12,2094,29,4,0.0,67,26.0,10.8,117.83,213.0,0.06,0.1,37,40,44,51,56
2019-11-12,2093,42,0,0.24,61,23.7,7.3,142.49,257.6,0.07,0.14,33,37,40,51,56
2019-11-12,2005,22,9,0.0,76,19.9,5.0,148.7,268.74,0.07,0.1,43,48,49,54,59
2019-11-12,2002,19,0,0.0,0,24.1,9.4,98.66,203.72,0.0,0.08,34,35,36,41,44
2019-11-12,2032,35,24,0.0,67,32.2,15.3,164.41,369.37,0.11,0.16,50,51,51,60,64
2019-11-12,2086,35,24,0.0,76,30.9,15.9,166.72,344.31,0.12,0.16,48,51,54,58,63
2019-11-12,2117,46,33,0.01,61,26.0,11.4,18.46,40.16,0.15,0.24,33,34,37,37,43
2019-11-12,2121,41,19,0.06,70,20.2,7.3,57.53,135.43,0.13,0.19,33,35,36,40,44
2019-11-12,2180,70,31,0.5,83,19.8,5.3,92.37,188.6,0.28,0.32,59,61,72,66,69
2019-11-12,2119,48,33,0.14,60,29.4,8.1,33.22,78.2,0.15,0.25,33,35,37,41,43
2019-11-12,2118,42,11,0.09,84,15.4,3.9,26.11,61.47,0.14,0.17,32,34,34,38,43
2019-11-12,2001,28,2,0.0,73,22.4,7.4,122.55,221.46,0.07,0.1,36,40,46,52,54
2019-11-12,2145,67,34,0.0,33,6.0,1.1,100.4,207.3,0.1,0.35,46,45,46,47,50
2019-11-12,2141,62,38,0.0,24,7.6,1.3,156.85,323.9,0.08,0.36,50,49,50,51,53
2019-11-12,2020,26,-3,0.0,78,22.2,7.9,76.73,180.68,0.07,0.09,31,34,36,40,44
2019-11-12,2072,24,1,0.0,77,26.3,10.5,106.5,192.5,0.07,0.09,32,33,34,40,46
2019-11-12,2075,33,17,0.01,82,18.8,6.9,114.43,227.48,0.11,0.13,47,50,52,57,62
2019-11-12,2106,44,15,0.0,55,14.6,6.0,159.28,328.9,0.08,0.17,40,38,46,52,59
2019-11-12,2105,44,16,0.0,32,15.2,5.8,172.15,355.5,0.07,0.17,41,44,48,53,61
2019-11-12,2178,64,28,0.65,81,18.6,4.1,80.15,163.7,0.24,0.29,56,58,67,63,70
2019-11-12,2200,41,22,0.0,38,19.6,5.8,162.32,331.5,0.06,0.17,46,49,53,61,66
2019-11-12,2202,38,15,0.0,56,19.6,4.8,168.02,343.1,0.07,0.14,47,49,53,58,63
2019-11-12,2138,51,28,0.0,27,12.1,3.0,159.75,376.09,0.07,0.25,44,43,47,51,52
2019-11-12,2135,48,22,0.0,53,12.1,4.5,114.52,233.8,0.11,0.22,36,37,39,42,47
2019-11-12,2136,51,17,0.0,62,15.9,2.4,99.64,234.61,0.12,0.22,37,39,41,45,49
2019-11-12,2150,46,23,0.0,37,23.4,10.5,125.15,288.08,0.07,0.21,35,36,36,39,42
2019-11-12,2125,61,16,0.0,54,9.2,2.7,161.18,379.39,0.1,0.24,35,39,40,46,51
2019-11-12,2130,49,21,0.0,37,14.5,5.3,154.64,360.01,0.07,0.21,40,41,43,47,51
2019-11-12,2128,65,17,0.0,52,9.1,3.6,146.38,298.9,0.11,0.27,45,47,48,50,55
2019-11-12,2126,58,17,0.0,53,6.3,1.4,143.47,337.78,0.09,0.22,33,36,37,41,46
2019-11-12,2181,71,31,0.49,85,29.7,11.7,87.9,179.52,0.28,0.31,59,86,63,65,68
2019-11-12,2165,57,15,0.0,51,8.9,3.2,130.93,308.26,0.08,0.22,40,41,43,45,49
2019-11-12,2160,48,20,0.0,52,13.3,4.2,115.61,269.15,0.09,0.2,38,39,41,44,47
2019-11-12,2164,58,18,0.0,48,7.6,2.8,153.09,360.35,0.09,0.24,38,44,44,49,54
2019-11-12,2166,50,21,0.0,24,10.6,5.0,165.25,384.64,0.05,0.22,41,43,47,48,52
2019-11-12,2127,59,17,0.0,60,7.1,2.7,140.88,290.8,0.11,0.24,41,42,45,48,54
2019-11-12,2155,46,14,0.0,65,9.4,1.7,136.83,322.05,0.09,0.17,32,37,38,43,47
2019-11-12,2140,55,28,0.0,33,10.2,3.3,184.71,434.8,0.08,0.27,45,48,51,55,58
2019-11-12,2129,62,12,0.0,56,13.8,3.4,157.56,370.96,0.1,0.24,44,46,47,52,56
2019-11-12,2133,54,15,0.0,67,8.1,2.3,124.86,255.0,0.11,0.19,38,37,38,40,42
2019-11-12,2134,44,16,0.0,61,10.0,3.3,134.47,277.7,0.09,0.18,37,38,41,43,46
2019-11-12,2056,34,19,0.0,75,12.8,3.1,78.51,141.93,0.11,0.15,47,51,54,50,62
2019-11-12,2137,56,22,0.0,54,12.6,4.7,133.7,314.75,0.11,0.24,43,45,46,50,53
2019-11-12,2157,60,10,0.0,60,6.1,1.6,155.39,365.83,0.09,0.2,34,34,36,40,46
2019-11-12,2132,51,25,0.0,45,9.5,3.4,135.9,319.88,0.1,0.24,45,46,47,52,54
2019-11-12,2159,72,40,0.0,32,6.0,1.8,163.87,381.44,0.12,0.43,53,53,55,58,64
2019-11-12,2154,47,13,0.0,55,6.2,2.0,130.48,307.12,0.08,0.18,35,40,40,46,51
2019-11-12,2158,56,35,0.0,32,13.2,4.9,159.62,371.53,0.09,0.32,46,48,50,54,56
2019-11-12,2163,55,20,0.0,46,10.2,3.2,147.26,346.67,0.1,0.25,42,44,47,52,55
2019-11-12,2139,51,21,0.0,39,12.4,3.7,181.46,427.16,0.07,0.21,34,36,41,45,47
2019-11-12,2018,55,-10,0.01,52,26.6,5.7,121.54,217.2,0.07,0.22,32,33,35,40,47
2019-11-12,2179,36,19,0.18,77,19.9,6.1,133.76,241.8,0.12,0.15,47,50,51,55,59
2019-11-12,2115,63,26,0.6,83,28.3,9.4,86.2,155.8,0.24,0.28,59,60,60,63,67
2019-11-12,2026,61,39,0.0,57,21.9,9.4,169.95,307.2,0.22,0.4,63,64,66,68,71
