Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2019-05-29,2057,92,69,0.0,61,12.6,1.9,316.11,571.3,0.6,1.08,91,88,85,79,71
2019-05-29,2091,90,72,0.0,73,16.4,7.1,239.46,494.4,0.67,1.09,80,79,79,76,71
2019-05-29,2085,90,71,0.0,67,25.9,5.7,185.41,335.12,0.7,1.07,75,75,72,69,55
2019-05-29,2084,90,70,0.0,68,24.3,5.2,234.8,484.9,0.71,1.08,79,80,79,64,69
2019-05-29,2215,61,35,0.13,69,14.9,2.7,206.8,422.3,0.21,0.33,49,50,48,44,44
2019-05-29,2189,81,58,0.0,61,17.3,4.9,341.24,696.8,0.42,0.74,82,78,74,72,71
2019-05-29,2187,72,43,0.0,46,17.0,3.3,298.96,540.3,0.22,0.52,63,63,60,57,57
2019-05-29,2191,63,33,0.08,55,15.6,2.1,234.96,424.7,0.17,0.35,56,55,55,54,55
2019-05-29,2218,76,54,0.17,47,13.4,2.2,278.68,569.1,0.27,0.6,68,66,63,59,56
2019-05-29,2149,74,49,0.0,43,15.2,5.1,321.9,664.7,0.22,0.55,62,60,60,56,56
2019-05-29,2197,57,32,0.01,69,20.9,8.0,289.19,590.5,0.19,0.31,51,51,50,51,51
2019-05-29,2173,93,70,0.0,15,16.4,3.9,320.96,662.7,0.11,1.1,90,84,81,78,71
2019-05-29,2068,65,54,0.59,94,11.7,2.8,91.21,164.9,0.46,0.49,60,60,59,56,51
2019-05-29,2092,73,62,0.0,88,18.2,4.3,130.46,235.77,0.57,0.66,69,61,68,67,63
2019-05-29,2094,65,49,0.01,89,17.3,7.0,202.89,366.7,0.42,0.49,63,63,62,59,55
2019-05-29,2093,63,50,0.0,81,20.4,7.8,240.49,434.7,0.36,0.46,60,61,60,57,53
2019-05-29,2005,87,64,2.25,87,21.8,4.0,156.08,282.14,0.75,0.89,78,76,75,71,65
2019-05-29,2002,75,49,0.0,66,10.3,3.2,238.22,491.87,0.35,0.6,54,54,52,49,46
2019-05-29,2032,90,73,0.0,64,27.8,8.0,258.07,579.74,0.68,1.1,81,80,78,76,70
2019-05-29,2086,90,73,0.0,70,16.1,4.4,298.98,617.44,0.74,1.11,80,79,78,75,70
2019-05-29,2117,76,41,0.0,44,21.3,6.3,385.44,838.58,0.2,0.56,61,58,57,50,47
2019-05-29,2121,75,45,0.0,41,12.4,5.1,322.92,760.15,0.22,0.6,61,60,58,54,51
2019-05-29,2180,91,70,0.0,77,17.0,4.6,236.46,482.82,0.77,1.07,83,84,72,82,79
2019-05-29,2119,68,40,0.0,51,26.1,11.2,349.99,823.88,0.2,0.48,55,53,51,49,47
2019-05-29,2118,76,38,0.0,50,21.1,6.8,346.23,814.99,0.21,0.55,62,60,58,53,49
2019-05-29,2001,69,57,0.02,89,18.2,6.5,185.37,335.02,0.49,0.56,63,62,59,53,56
2019-05-29,2145,61,36,0.0,72,5.4,0.8,115.83,239.2,0.24,0.35,48,48,46,45,46
2019-05-29,2141,58,39,0.14,70,8.2,1.6,133.5,275.7,0.23,0.34,48,49,49,49,49
2019-05-29,2020,82,47,0.0,45,16.8,6.8,250.96,590.95,0.27,0.68,50,48,46,44,41
2019-05-29,2072,63,52,0.7,86,17.3,5.5,88.24,159.5,0.39,0.46,56,57,56,51,49
2019-05-29,2075,90,68,0.0,67,14.5,3.1,327.56,592.13,0.62,1.01,82,81,80,75,70
2019-05-29,2106,76,52,0.0,52,22.0,8.8,293.47,606.1,0.31,0.63,72,69,73,72,69
2019-05-29,2105,77,55,0.0,39,23.1,8.3,329.26,679.8,0.3,0.66,73,72,72,70,67
2019-05-29,2178,93,64,0.0,75,10.6,1.5,279.83,571.4,0.71,1.04,86,85,84,81,75
2019-05-29,2200,78,61,0.33,78,19.4,4.1,158.36,323.4,0.58,0.76,73,74,73,71,68
2019-05-29,2202,78,62,0.26,83,15.6,4.4,165.08,337.1,0.6,0.74,73,73,72,70,65
2019-05-29,2138,61,43,0.0,61,15.4,5.0,271.76,639.65,0.23,0.39,52,52,52,53,53
2019-05-29,2135,66,47,0.0,70,15.6,4.6,303.04,618.7,0.29,0.45,59,58,56,53,50
2019-05-29,2136,70,44,0.0,72,11.1,2.4,296.41,697.68,0.3,0.48,60,60,55,52,50
2019-05-29,2150,54,38,0.01,66,16.5,5.1,301.82,702.58,0.19,0.31,45,45,44,44,42
2019-05-29,2125,65,32,0.01,75,16.7,3.5,327.84,771.78,0.25,0.37,52,56,54,52,51
2019-05-29,2130,58,36,0.0,72,21.9,7.5,284.05,668.72,0.23,0.34,52,51,52,51,50
2019-05-29,2128,65,41,0.01,77,15.6,3.3,260.97,532.9,0.29,0.41,61,58,56,54,54
2019-05-29,2126,66,31,0.0,72,18.4,2.8,311.8,734.05,0.24,0.38,53,51,51,50,48
