Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2018-06-02,2057,88,67,0.0,82,11.0,1.6,281.91,509.5,0.74,0.96,82,82,79,75,70
2018-06-02,2091,93,74,0.0,74,17.3,3.1,254.32,525.1,0.86,1.19,81,80,80,76,72
2018-06-02,2085,94,72,0.0,74,13.9,2.9,244.88,442.57,0.84,1.21,80,79,78,74,62
2018-06-02,2084,95,69,0.92,79,42.7,2.6,298.83,617.0,0.89,1.19,80,80,78,73,69
2018-06-02,2215,75,34,0.0,33,13.6,2.9,380.31,776.7,0.14,0.53,60,61,55,49,47
2018-06-02,2189,87,64,0.0,38,17.0,5.0,365.59,746.5,0.34,0.95,88,85,81,78,76
2018-06-02,2187,86,56,0.0,14,17.1,4.9,371.22,671.0,0.11,0.83,77,76,72,68,63
2018-06-02,2191,79,41,0.0,27,11.6,2.1,357.44,646.1,0.12,0.57,68,66,65,62,61
2018-06-02,2218,85,63,0.0,28,6.0,1.7,346.13,706.9,0.23,0.87,73,71,68,64,59
2018-06-02,2149,88,57,0.0,14,16.7,5.1,359.0,741.4,0.1,0.85,74,71,72,66,64
2018-06-02,2197,77,40,0.0,36,22.5,6.9,349.73,714.1,0.17,0.55,70,70,68,65,59
2018-06-02,2173,90,68,0.0,88,7.8,1.6,299.75,618.9,0.83,0.98,80,80,77,74,70
2018-06-02,2068,74,60,0.95,67,26.6,7.9,262.11,473.7,0.42,0.67,67,67,67,62,54
