Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2018-06-20,2057,88,69,0.0,78,8.0,1.1,206.23,372.7,0.73,0.98,84,84,83,80,75
2018-06-20,2091,83,72,0.13,85,9.8,3.3,105.23,217.3,0.79,0.94,81,81,81,79,76
2018-06-20,2085,85,70,0.83,85,14.4,2.7,97.25,175.83,0.8,0.95,85,85,85,80,66
2018-06-20,2084,87,70,0.73,85,19.2,2.8,131.01,270.5,0.81,0.97,82,81,82,64,73
2018-06-20,2215,81,43,0.0,30,19.1,4.5,389.34,795.0,0.14,0.7,69,68,62,55,52
2018-06-20,2189,102,80,0.0,42,16.9,6.2,366.5,748.4,0.6,1.37,94,90,86,82,79
2018-06-20,2187,94,60,0.0,17,17.4,4.4,372.47,673.2,0.15,1.05,84,84,79,75,69
2018-06-20,2191,83,45,0.0,32,15.8,2.6,360.68,652.0,0.17,0.69,76,73,72,69,66
2018-06-20,2218,81,65,0.0,41,8.0,2.1,338.26,690.7,0.33,0.81,80,78,75,70,63
2018-06-20,2149,95,62,0.0,17,15.7,4.9,356.62,736.4,0.14,1.06,81,78,78,73,71
2018-06-20,2197,73,40,0.0,69,22.0,7.2,289.11,590.3,0.32,0.52,67,67,67,68,65
2018-06-20,2173,87,74,0.17,92,11.8,1.3,139.76,288.6,0.91,1.01,82,81,81,79,73
2018-06-20,2068,67,60,0.61,97,16.6,5.0,60.13,108.7,0.59,0.61,70,71,71,67,59
