Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2019-06-16,2057,92,74,0.0,66,9.7,1.7,248.61,430.7,0.71,1.09,86,85,82,77,72
2019-06-16,2091,89,71,0.0,73,15.1,5.9,178.55,368.7,0.74,1.02,78,77,78,75,72
2019-06-16,2085,90,75,0.0,68,16.0,5.0,192.11,347.22,0.75,1.12,76,74,73,70,57
2019-06-16,2084,90,72,0.0,72,16.0,5.0,218.21,450.6,0.78,1.09,77,79,77,64,71
2019-06-16,2215,76,47,0.0,56,17.9,2.7,165.98,338.9,0.28,0.52,57,60,57,52,49
2019-06-16,2189,90,71,0.0,43,15.9,4.6,362.73,740.7,0.46,1.09,97,93,91,86,80
2019-06-16,2187,87,57,0.0,30,23.8,5.4,256.73,464.0,0.23,0.83,80,79,76,71,64
2019-06-16,2191,78,48,0.11,42,13.2,2.0,223.83,404.5,0.2,0.53,69,69,68,65,61
2019-06-16,2218,87,63,0.01,46,8.7,1.5,296.44,605.3,0.36,0.91,85,82,79,73,63
2019-06-16,2149,85,62,0.0,28,20.1,4.6,193.08,398.7,0.21,0.81,72,72,72,67,64
2019-06-16,2197,73,43,0.18,79,23.7,6.4,231.35,472.4,0.38,0.52,65,65,65,63,59
2019-06-16,2173,90,71,0.1,30,16.8,2.8,211.72,437.2,0.26,0.99,83,80,79,77,72
2019-06-16,2068,84,59,0.0,68,12.5,2.0,264.64,478.4,0.48,0.78,68,68,66,62,56
2019-06-16,2092,80,65,0.84,86,26.5,4.0,164.43,297.13,0.66,0.78,72,63,71,69,67
2019-06-16,2094,83,63,0.0,67,14.7,4.6,255.59,462.0,0.53,0.84,69,67,65,62,59
2019-06-16,2093,85,60,0.0,55,13.9,4.2,322.17,582.3,0.43,0.85,69,68,66,62,58
2019-06-16,2005,87,69,0.14,83,17.6,4.1,206.71,373.66,0.8,0.99,75,72,71,69,67
2019-06-16,2002,77,56,0.07,63,15.8,4.4,205.82,425.01,0.4,0.65,61,61,59,56,52
2019-06-16,2032,86,71,0.44,84,17.2,6.2,119.54,268.49,0.81,0.97,80,79,78,77,72
2019-06-16,2086,89,72,0.38,88,26.9,4.7,206.41,426.19,0.86,1.0,79,79,77,74,72
2019-06-16,2117,72,51,0.0,60,18.8,5.1,272.79,593.48,0.31,0.54,68,68,68,59,55
2019-06-16,2121,71,43,0.09,66,19.5,5.0,242.01,569.66,0.32,0.54,66,66,66,62,58
2019-06-16,2180,89,72,0.0,85,19.7,3.1,193.57,395.31,0.86,1.05,79,79,72,79,79
2019-06-16,2119,67,51,0.0,69,16.9,4.7,318.55,749.89,0.35,0.53,62,61,59,55,52
2019-06-16,2118,77,49,0.0,57,14.2,4.8,229.82,541.04,0.29,0.58,70,67,66,61,55
2019-06-16,2001,85,58,0.0,72,17.5,3.4,259.56,469.16,0.52,0.82,68,67,63,56,60
2019-06-16,2145,82,48,0.0,41,10.2,1.1,156.59,323.3,0.22,0.66,59,61,58,56,52
2019-06-16,2141,77,53,0.0,34,17.8,2.2,270.45,558.5,0.22,0.66,65,64,63,61,59
2019-06-16,2020,67,48,0.01,78,20.0,7.9,228.13,537.2,0.36,0.48,57,56,54,51,46
2019-06-16,2072,82,58,0.0,71,20.2,5.0,274.56,456.1,0.47,0.74,66,66,65,58,54
2019-06-16,2075,89,69,0.02,78,13.1,2.6,253.48,458.15,0.75,0.98,77,77,76,73,71
2019-06-16,2106,85,60,0.0,50,16.7,6.5,315.31,651.1,0.38,0.81,83,79,81,78,73
2019-06-16,2105,85,62,0.0,35,19.0,7.6,248.92,514.0,0.38,0.82,80,80,78,74,71
2019-06-16,2178,93,67,0.0,75,10.3,1.7,272.12,555.7,0.74,1.05,85,84,67,81,77
2019-06-16,2200,91,68,0.0,61,17.2,4.1,162.86,332.6,0.61,1.02,78,78,77,75,72
2019-06-16,2202,84,64,0.02,74,15.9,4.7,263.94,538.9,0.59,0.84,75,75,74,71,67
2019-06-16,2138,79,58,0.02,41,24.4,4.2,234.9,553.01,0.26,0.66,69,70,69,66,63
2019-06-16,2135,81,54,0.0,31,19.0,4.7,345.85,706.3,0.2,0.73,71,70,67,61,55
2019-06-16,2136,82,48,0.0,53,19.3,3.5,317.89,748.3,0.3,0.69,68,67,63,58,54
2019-06-16,2150,68,49,0.0,43,21.6,7.2,324.84,747.73,0.21,0.51,53,53,52,51,48
2019-06-16,2125,78,40,0.04,56,24.1,5.5,276.91,651.85,0.28,0.56,61,65,63,58,53
2019-06-16,2130,77,54,0.0,43,25.4,5.8,220.62,513.68,0.24,0.6,68,67,67,61,57
2019-06-16,2128,84,55,0.07,55,24.1,6.8,241.32,492.8,0.33,0.69,77,74,72,68,60
2019-06-16,2126,73,44,0.0,62,22.4,3.2,156.87,369.36,0.3,0.54,62,61,61,57,52
2019-06-16,2181,94,73,0.0,80,19.1,2.6,247.9,506.23,0.88,1.14,80,78,79,77,76
2019-06-16,2165,82,49,0.02,52,21.3,5.3,201.63,474.58,0.29,0.62,62,62,64,61,56
2019-06-16,2160,76,43,0.0,39,17.4,5.0,360.53,839.27,0.21,0.61,64,62,60,57,55
2019-06-16,2164,80,55,0.42,53,30.0,5.4,205.92,484.73,0.31,0.65,73,75,74,69,62
2019-06-16,2166,77,51,0.0,41,31.1,7.3,284.46,662.23,0.22,0.58,67,66,66,61,55
2019-06-16,2127,80,49,0.0,54,22.9,4.1,164.89,340.5,0.31,0.64,69,70,68,64,59
2019-06-16,2155,81,50,0.0,52,22.0,4.0,257.61,606.48,0.3,0.63,66,63,63,58,55
2019-06-16,2140,86,60,0.0,34,20.1,5.1,251.03,590.86,0.25,0.79,76,75,74,69,65
2019-06-16,2129,82,49,0.01,60,26.5,6.3,147.26,346.67,0.35,0.64,68,67,65,61,56
2019-06-16,2133,80,44,0.0,54,15.0,3.8,273.47,558.4,0.28,0.62,76,74,73,66,59
2019-06-16,2134,73,50,0.01,48,19.8,6.0,259.1,535.0,0.26,0.57,59,58,58,55,55
2019-06-16,2056,91,70,0.0,72,10.2,1.9,170.45,308.08,0.76,1.07,71,73,72,64,68
2019-06-16,2137,76,49,0.0,50,19.2,5.3,182.75,430.24,0.29,0.61,63,62,62,58,54
2019-06-16,2157,69,38,0.01,72,21.2,4.8,171.53,403.79,0.3,0.45,54,55,54,51,48
