Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2018-05-28,2057,77,67,0.09,93,16.9,4.4,134.38,242.9,0.72,0.78,76,76,76,74,69
2018-05-28,2091,91,72,0.0,71,11.2,2.6,279.65,577.6,0.73,1.08,80,79,79,75,71
2018-05-28,2085,91,71,0.0,78,23.9,3.8,231.25,417.95,0.76,1.03,79,79,78,73,60
2018-05-28,2084,91,71,0.23,78,24.8,2.8,273.01,563.7,0.77,1.04,79,79,78,72,68
2018-05-28,2215,68,38,0.0,56,19.7,3.1,358.35,731.7,0.21,0.44,57,57,52,47,47
2018-05-28,2189,84,62,0.0,43,16.4,4.7,359.06,733.1,0.34,0.86,88,84,80,76,74
2018-05-28,2187,79,48,0.0,33,20.2,6.4,360.93,652.3,0.21,0.7,70,70,67,64,62
2018-05-28,2191,72,40,0.0,48,10.9,2.3,323.68,585.1,0.19,0.47,59,58,58,58,60
2018-05-28,2218,82,61,0.0,37,7.6,1.4,344.61,703.7,0.27,0.79,71,69,66,62,58
2018-05-28,2149,80,55,0.0,33,18.8,8.2,353.04,729.0,0.2,0.71,69,66,67,63,62
2018-05-28,2197,65,43,0.19,83,34.1,5.8,120.15,245.3,0.36,0.44,65,65,66,64,58
2018-05-28,2173,84,70,0.15,93,13.5,2.3,177.36,366.2,0.83,0.91,78,77,76,75,68
2018-05-28,2068,94,70,0.0,44,13.6,3.1,309.45,559.3,0.48,1.16,70,68,66,60,52
2018-05-28,2092,92,70,0.0,67,17.7,6.0,343.12,620.1,0.68,1.08,74,68,71,68,64
2018-05-28,2094,94,66,0.0,56,19.5,5.9,284.53,514.2,0.57,1.13,72,72,69,63,58
2018-05-28,2093,83,60,6.23,78,36.3,9.4,107.98,195.2,0.56,0.7,67,67,69,65,58
2018-05-28,2005,84,67,0.14,89,16.6,4.3,193.53,349.83,0.75,0.86,74,72,71,68,64
2018-05-28,2002,99,67,0.09,55,23.8,3.6,291.87,602.67,0.56,1.12,58,57,55,50,46
2018-05-28,2032,87,71,0.01,81,14.2,4.9,245.36,551.23,0.77,0.98,83,81,80,77,72
2018-05-28,2086,88,69,0.0,86,11.3,2.5,291.89,602.72,0.8,0.98,77,77,75,73,70
2018-05-28,2117,81,53,0.0,44,20.0,7.3,361.02,785.46,0.28,0.72,66,69,70,58,52
2018-05-28,2121,76,46,0.0,69,22.8,6.7,239.11,562.93,0.39,0.61,68,67,65,60,55
2018-05-28,2180,83,71,0.28,98,15.5,4.1,150.56,307.4,0.84,0.86,77,78,78,78,89
2018-05-28,2119,73,49,0.0,73,20.1,6.2,275.88,649.46,0.39,0.56,65,63,60,55,51
2018-05-28,2118,83,53,0.0,50,19.5,6.7,323.7,761.98,0.32,0.75,74,69,68,60,53
2018-05-28,2001,95,64,0.52,72,20.7,3.3,267.48,483.42,0.63,0.99,70,68,63,53,56
2018-05-28,2145,70,36,0.0,48,8.2,1.0,201.26,415.6,0.19,0.48,55,55,53,53,51
2018-05-28,2141,71,44,0.0,39,14.2,2.4,319.26,659.3,0.18,0.5,63,61,60,58,57
2018-05-28,2020,80,58,0.02,72,25.8,9.3,154.05,362.78,0.52,0.75,59,58,55,51,45
2018-05-28,2072,91,69,0.0,46,21.2,8.4,295.28,533.7,0.47,1.09,71,69,68,58,52
2018-05-28,2075,78,68,0.14,91,12.7,1.7,156.09,282.15,0.73,0.8,78,78,77,74,69
2018-05-28,2106,99,63,0.0,29,23.8,8.8,339.84,702.0,0.28,1.14,90,84,87,82,76
2018-05-28,2105,100,66,0.0,26,33.8,12.0,274.63,567.1,0.36,1.21,88,86,83,79,73
2018-05-28,2178,85,70,0.91,93,24.8,5.9,162.64,332.1,0.79,0.88,78,78,78,77,73
2018-05-28,2200,100,71,0.0,40,16.4,4.5,326.23,666.1,0.46,1.31,79,79,77,75,72
2018-05-28,2202,94,72,0.0,59,16.1,6.4,305.98,624.9,0.64,1.16,79,79,77,73,67
2018-05-28,2138,74,52,0.0,22,27.2,6.2,287.05,675.79,0.13,0.61,72,71,69,66,63
2018-05-28,2135,70,47,0.7,72,16.7,4.3,150.68,307.7,0.31,0.45,57,58,60,58,53
2018-05-28,2136,74,44,0.0,76,20.6,3.6,226.88,534.09,0.35,0.49,59,59,57,54,51
2018-05-28,2150,60,40,0.03,75,27.2,5.5,181.6,406.41,0.25,0.35,51,51,51,50,47
2018-05-28,2125,63,33,0.03,74,16.2,3.7,207.39,488.26,0.25,0.37,57,60,61,59,54
2018-05-28,2130,71,44,0.0,26,25.5,8.2,231.77,545.6,0.13,0.52,66,66,66,62,58
2018-05-28,2128,72,41,0.0,58,14.2,3.8,277.6,573.3,0.24,0.49,72,68,67,64,59
2018-05-28,2126,67,33,0.0,72,17.8,2.8,242.63,571.14,0.25,0.38,64,62,60,58,53
2018-05-28,2181,82,70,0.23,90,24.4,9.4,155.57,317.73,0.76,0.84,78,78,78,71,71
2018-05-28,2165,71,48,0.03,66,18.2,4.1,312.78,736.33,0.29,0.5,62,60,60,57,54
2018-05-28,2160,65,41,0.3,77,19.3,4.6,186.19,433.43,0.32,0.42,56,56,55,55,54
2018-05-28,2164,69,49,0.04,62,15.7,4.4,256.56,603.97,0.29,0.5,65,68,66,64,60
2018-05-28,2166,67,44,0.0,28,27.3,7.5,285.17,663.82,0.13,0.49,66,65,65,61,56
2018-05-28,2127,69,38,0.0,68,15.6,4.1,280.34,578.9,0.29,0.46,66,67,66,63,59
2018-05-28,2155,70,45,0.0,46,22.3,6.5,249.01,586.19,0.22,0.52,71,66,65,60,56
2018-05-28,2140,80,51,0.0,20,24.1,5.9,307.47,723.9,0.13,0.69,75,74,73,68,64
2018-05-28,2129,70,43,0.0,63,20.8,5.9,264.85,623.47,0.27,0.47,66,66,64,62,58
2018-05-28,2133,65,38,0.75,84,16.8,3.8,176.92,361.2,0.3,0.38,56,57,57,57,55
2018-05-28,2134,67,44,0.0,43,21.5,6.2,289.77,598.4,0.2,0.49,68,64,62,57,56
2018-05-28,2056,78,67,0.16,94,6.6,0.7,76.04,137.46,0.74,0.79,70,71,71,63,65
2018-05-28,2137,68,40,0.0,66,18.7,4.9,259.6,611.15,0.27,0.44,66,66,65,62,56
2018-05-28,2157,62,29,0.01,72,19.7,4.1,206.12,485.18,0.21,0.32,52,53,52,50,47
2018-05-28,2132,73,48,0.0,38,24.0,8.9,273.21,643.19,0.19,0.55,76,72,72,67,63
