,Region,NDVI,VV,VH,AvgTemp,Avgrelhumid,Totrain
0,Canizal,0.5025,0.0911299213767051,0.0156057197600603,20.31543209876543,53.49111111111111,0.0006666666666666666
1,Carretoro,0.2144,0.0324889682233333,0.00948974583297967,20.49212962962963,53.81916666666666,0.0026666666666666666
2,Casa_Periles,0.3189,0.0373790636658668,0.0083347363397479,20.25617283950617,54.01472222222222,0.005333333333333333
3,Concejo_del_Monte,0.233,0.0349256321787834,0.0140711516141891,20.261728395061724,53.641666666666666,0.0033333333333333335
4,El_Coto,0.2345,0.0425888895988464,0.0132341049611568,20.361728395061725,54.305,0.004
5,El_Tomillar,0.2176,0.0221663732081651,0.009407917037606241,20.100617283950616,54.445,0.005333333333333333
6,Granja_g,0.6125,0.058049276471138,0.0230470076203346,20.440277777777776,53.99972222222222,0.0026666666666666666
7,Guarrati,0.4915,0.0502536185085773,0.0120267318561673,20.02932098765432,54.23861111111112,0.0033333333333333335
8,La_Atalaya,0.2115,0.0424636341631412,0.00918563827872276,20.13055555555555,53.68361111111111,0.0
9,La_Cruz_de_Elias,0.2115,0.0370427258312702,0.00548544619232416,20.203858024691364,53.75472222222222,0.0033333333333333335
10,Las_Arenas,0.1739,0.0417999029159545,0.00820831768214702,20.18456790123457,54.545555555555545,0.009333333333333334
11,Las_Bodegas,0.3309,0.0284508224576711,0.0127126136794686,19.780092592592595,54.37444444444444,0.0
12,Las_Brozas,0.2619,0.0521966964006423,0.00910327956080436,20.533024691358026,54.172777777777775,0.006666666666666666
13,Las_Eritas,0.2703,0.0510670058429241,0.0173504315316677,20.188734567901236,53.91722222222222,0.0006666666666666666
14,Las_Tres_Rayas,0.2404,0.0367196686565876,0.0139075154438614,19.584259259259262,55.28388888888889,0.006666666666666667
15,Las_Vacas,0.37799999999999995,0.0305151659995317,0.013446332886815002,20.29675925925926,53.583611111111104,0.004666666666666666
16,Las_Victorias,0.2074,0.0389629937708377,0.0100284274667501,20.331635802469133,54.15138888888888,0.005333333333333333
17,Llanos_de_la_Boveda,0.2203,0.0367931984364986,0.008405426517128941,20.081018518518515,54.03694444444444,0.0026666666666666666
18,Paredinas,0.3106,0.0825517252087593,0.0127635123208165,20.404783950617283,54.219166666666666,0.008
19,Zamarron,0.2457,0.0362178534269332,0.007979640737175941,19.76141975308642,54.801944444444445,0.0033333333333333335
