,Region,Date,SM
0,Uapb Campus-PB,2017-07-09,32.2
1,Uapb-Lonoke Farm,2017-07-09,39.0
2,Uapb-Marianna,2017-07-09,39.2
3,Uapb Dewitt,2017-07-09,34.5
4,Tunica,2017-07-09,38.4
