,Region,Date,SM
0,Uapb Campus-PB,2017-03-11,37.35
1,Uapb-Lonoke Farm,2017-03-11,41.5
2,Uapb-Marianna,2017-03-11,37.1
3,Uapb Dewitt,2017-03-11,42.1
4,Tunica,2017-03-11,39.4
