,Region,Date,SM
0,Uapb Campus-PB,2017-11-06,9.9
1,Uapb-Lonoke Farm,2017-11-06,21.8
2,Uapb-Marianna,2017-11-06,32.1
3,Uapb Dewitt,2017-11-06,25.55
4,Tunica,2017-11-06,35.95
