,Region,Date,SM
0,Uapb Campus-PB,2017-12-24,33.2
1,Uapb-Lonoke Farm,2017-12-24,41.4
2,Uapb-Marianna,2017-12-24,43.8
3,Uapb Dewitt,2017-12-24,38.75
4,Tunica,2017-12-24,39.05
