,Region,Date,SM
0,Uapb Campus-PB,2017-05-22,35.75
1,Uapb-Lonoke Farm,2017-05-22,37.8
2,Uapb-Marianna,2017-05-22,38.7
3,Uapb Dewitt,2017-05-22,38.15
4,Tunica,2017-05-22,39.15
