,Region,Date,SM
0,Uapb Campus-PB,2017-03-23,29.45
1,Uapb-Lonoke Farm,2017-03-23,37.35
2,Uapb-Marianna,2017-03-23,33.25
3,Uapb Dewitt,2017-03-23,36.25
4,Tunica,2017-03-23,38.25
