,Region,Date,SM
0,Uapb Campus-PB,2017-06-03,30.0
1,Uapb-Lonoke Farm,2017-06-03,37.45
2,Uapb-Marianna,2017-06-03,38.0
3,Uapb Dewitt,2017-06-03,41.1
4,Tunica,2017-06-03,38.95
