,Region,Date,SM
0,Uapb Campus-PB,2017-09-07,23.9
1,Uapb-Lonoke Farm,2017-09-07,33.3
2,Uapb-Marianna,2017-09-07,36.85
3,Uapb Dewitt,2017-09-07,33.4
4,Tunica,2017-09-07,35.15
