,Region,Date,SM
0,Uapb Campus-PB,2017-01-22,36.3
1,Uapb-Lonoke Farm,2017-01-22,41.2
2,Uapb-Marianna,2017-01-22,40.25
3,Uapb Dewitt,2017-01-22,41.8
4,Tunica,2017-01-22,39.0
