,Region,Date,SM
0,Uapb Campus-PB,2017-04-16,26.95
1,Uapb-Lonoke Farm,2017-04-16,33.35
2,Uapb-Marianna,2017-04-16,33.95
3,Uapb Dewitt,2017-04-16,37.3
4,Tunica,2017-04-16,32.1
