,Region,Date,SM
0,Uapb Campus-PB,2017-02-03,32.8
1,Uapb-Lonoke Farm,2017-02-03,37.2
2,Uapb-Marianna,2017-02-03,36.85
3,Uapb Dewitt,2017-02-03,38.0
4,Tunica,2017-02-03,37.7
