,Region,Date,SM
0,Uapb Campus-PB,2017-09-19,15.7
1,Uapb-Lonoke Farm,2017-09-19,28.2
2,Uapb-Marianna,2017-09-19,35.55
3,Uapb Dewitt,2017-09-19,26.5
4,Tunica,2017-09-19,35.05
