,Region,Date,SM
0,Uapb Campus-PB,2017-02-15,34.6
1,Uapb-Lonoke Farm,2017-02-15,40.6
2,Uapb-Marianna,2017-02-15,41.85
3,Uapb Dewitt,2017-02-15,41.2
4,Tunica,2017-02-15,40.9
