,Region,Date,SM
0,Uapb Campus-PB,2017-11-30,8.7
1,Uapb-Lonoke Farm,2017-11-30,19.5
2,Uapb-Marianna,2017-11-30,23.7
3,Uapb Dewitt,2017-11-30,24.3
4,Tunica,2017-11-30,35.15
