,Region,Date,SM
0,Uapb Campus-PB,2017-04-04,35.65
1,Uapb-Lonoke Farm,2017-04-04,38.65
2,Uapb-Marianna,2017-04-04,39.8
3,Uapb Dewitt,2017-04-04,40.95
4,Tunica,2017-04-04,39.65
