,Region,Date,SM
0,Uapb Campus-PB,2017-06-27,31.4
1,Uapb-Lonoke Farm,2017-06-27,36.3
2,Uapb-Marianna,2017-06-27,37.35
3,Uapb Dewitt,2017-06-27,36.5
4,Tunica,2017-06-27,21.55
