,Region,Date,SM
0,Uapb Campus-PB,2017-10-25,8.8
1,Uapb-Lonoke Farm,2017-10-25,20.3
2,Uapb-Marianna,2017-10-25,21.55
3,Uapb Dewitt,2017-10-25,21.1
4,Tunica,2017-10-25,29.2
