,Region,Date,SM
0,Uapb Campus-PB,2017-06-15,24.9
1,Uapb-Lonoke Farm,2017-06-15,33.05
2,Uapb-Marianna,2017-06-15,30.6
3,Uapb Dewitt,2017-06-15,31.25
4,Tunica,2017-06-15,39.4
