,Region,Date,SM
0,Uapb Campus-PB,2017-08-02,10.1
1,Uapb-Lonoke Farm,2017-08-02,34.2
2,Uapb-Marianna,2017-08-02,33.0
3,Uapb Dewitt,2017-08-02,18.05
4,Tunica,2017-08-02,39.3
