,Region,Date,SM
0,Uapb Campus-PB,2017-04-28,35.55
1,Uapb-Lonoke Farm,2017-04-28,42.3
2,Uapb-Marianna,2017-04-28,37.6
3,Uapb Dewitt,2017-04-28,40.25
4,Tunica,2017-04-28,39.1
