,Region,Date,SM
0,Uapb Campus-PB,2017-10-01,7.6
1,Uapb-Lonoke Farm,2017-10-01,19.0
2,Uapb-Marianna,2017-10-01,26.1
3,Uapb Dewitt,2017-10-01,18.75
4,Tunica,2017-10-01,34.15
