,Region,Date,SM
0,Uapb Campus-PB,2017-08-14,31.1
1,Uapb-Lonoke Farm,2017-08-14,32.0
2,Uapb-Marianna,2017-08-14,30.05
3,Uapb Dewitt,2017-08-14,23.35
4,Tunica,2017-08-14,40.5
