,Region,Date,SM
0,Uapb Campus-PB,2017-12-12,16.9
1,Uapb-Lonoke Farm,2017-12-12,26.6
2,Uapb-Marianna,2017-12-12,31.35
3,Uapb Dewitt,2017-12-12,33.2
4,Tunica,2017-12-12,36.45
