,Region,Date,SM
0,Uapb Campus-PB,2017-11-18,9.5
1,Uapb-Lonoke Farm,2017-11-18,21.5
2,Uapb-Marianna,2017-11-18,26.85
3,Uapb Dewitt,2017-11-18,26.25
4,Tunica,2017-11-18,36.0
