,Region,Date,SM
0,Uapb Campus-PB,2017-10-13,5.4
1,Uapb-Lonoke Farm,2017-10-13,15.95
2,Uapb-Marianna,2017-10-13,25.9
3,Uapb Dewitt,2017-10-13,23.8
4,Tunica,2017-10-13,32.05
