,Region,Date,SM
0,Uapb Campus-PB,2017-08-26,16.4
1,Uapb-Lonoke Farm,2017-08-26,28.7
2,Uapb-Marianna,2017-08-26,23.5
3,Uapb Dewitt,2017-08-26,15.9
4,Tunica,2017-08-26,40.3
