,Region,Date,SM
0,Uapb Campus-PB,2017-07-21,19.6
1,Uapb-Lonoke Farm,2017-07-21,31.2
2,Uapb-Marianna,2017-07-21,25.7
3,Uapb Dewitt,2017-07-21,24.05
4,Tunica,2017-07-21,31.55
