,Region,Date,SM
0,EastView,2017-03-24,34.65
1,McAllister,2017-03-24,29.35
2,Allen,2017-03-24,36.6
3,Bragg,2017-03-24,22.7
4,Aamu,2017-03-24,33.4
5,Stanley,2017-03-24,32.65
6,Hodges,2017-03-24,28.4
7,Sudduth,2017-03-24,32.5
