,Region,Date,SM
0,EastView,2017-09-08,31.0
1,McAllister,2017-09-08,29.05
2,Allen,2017-09-08,37.6
3,Bragg,2017-09-08,31.05
4,Aamu,2017-09-08,34.15
5,Stanley,2017-09-08,30.6
6,Hodges,2017-09-08,25.65
7,Sudduth,2017-09-08,21.75
