,Region,Date,SM
0,EastView,2017-04-17,24.55
1,McAllister,2017-04-17,15.35
2,Allen,2017-04-17,20.85
3,Bragg,2017-04-17,17.1
4,Aamu,2017-04-17,25.55
5,Stanley,2017-04-17,18.8
6,Hodges,2017-04-17,15.05
7,Sudduth,2017-04-17,18.2
