,Region,Date,SM
0,EastView,2017-02-04,32.6
1,McAllister,2017-02-04,26.85
2,Allen,2017-02-04,33.15
3,Bragg,2017-02-04,23.05
4,Aamu,2017-02-04,31.2
5,Stanley,2017-02-04,32.85
6,Hodges,2017-02-04,25.0
7,Sudduth,2017-02-04,27.2
