,Region,Date,SM
0,EastView,2017-02-16,36.15
1,McAllister,2017-02-16,30.55
2,Allen,2017-02-16,36.75
3,Bragg,2017-02-16,27.25
4,Aamu,2017-02-16,35.2
5,Stanley,2017-02-16,37.75
6,Hodges,2017-02-16,29.8
7,Sudduth,2017-02-16,31.95
