,Region,Date,SM
0,EastView,2017-09-20,34.7
1,McAllister,2017-09-20,31.65
2,Allen,2017-09-20,40.25
3,Bragg,2017-09-20,31.75
4,Aamu,2017-09-20,36.65
5,Stanley,2017-09-20,44.5
6,Hodges,2017-09-20,23.7
7,Sudduth,2017-09-20,21.6
