,Region,Date,SM
0,EastView,2017-07-10,30.7
1,McAllister,2017-07-10,32.25
2,Allen,2017-07-10,33.55
3,Bragg,2017-07-10,24.7
4,Aamu,2017-07-10,37.7
5,Stanley,2017-07-10,32.3
6,Hodges,2017-07-10,26.8
7,Sudduth,2017-07-10,28.25
