,Region,Date,SM
0,EastView,2017-03-12,35.65
1,McAllister,2017-03-12,30.8
2,Allen,2017-03-12,37.35
3,Bragg,2017-03-12,27.05
4,Aamu,2017-03-12,35.3
5,Stanley,2017-03-12,40.9
6,Hodges,2017-03-12,31.05
7,Sudduth,2017-03-12,33.2
