,Region,Date,SM
0,EastView,2017-01-11,32.2
1,McAllister,2017-01-11,26.65
2,Allen,2017-01-11,31.95
3,Bragg,2017-01-11,24.15
4,Aamu,2017-01-11,33.4
5,Stanley,2017-01-11,31.15
6,Hodges,2017-01-11,25.35
7,Sudduth,2017-01-11,26.65
