,Region,Date,SM
0,EastView,2017-08-03,24.4
1,McAllister,2017-08-03,24.05
2,Allen,2017-08-03,28.3
3,Bragg,2017-08-03,26.35
4,Aamu,2017-08-03,32.1
5,Stanley,2017-08-03,16.95
6,Hodges,2017-08-03,13.6
7,Sudduth,2017-08-03,18.8
