,Region,Date,SM
0,EastView,2017-12-25,35.2
1,McAllister,2017-12-25,38.5
2,Allen,2017-12-25,45.05
3,Bragg,2017-12-25,34.25
4,Aamu,2017-12-25,37.0
5,Stanley,2017-12-25,42.7
6,Hodges,2017-12-25,34.3
7,Sudduth,2017-12-25,30.2
