,Region,Date,SM
0,EastView,2017-10-26,31.95
1,McAllister,2017-10-26,35.9
2,Allen,2017-10-26,43.55
3,Bragg,2017-10-26,30.2
4,Aamu,2017-10-26,33.4
5,Stanley,2017-10-26,38.45
6,Hodges,2017-10-26,27.0
7,Sudduth,2017-10-26,24.75
