,Region,Date,SM
0,EastView,2017-11-19,32.1
1,McAllister,2017-11-19,36.55
2,Allen,2017-11-19,45.35
3,Bragg,2017-11-19,30.9
4,Aamu,2017-11-19,36.85
5,Stanley,2017-11-19,43.2
6,Hodges,2017-11-19,32.0
7,Sudduth,2017-11-19,29.9
