StationID,Latitude,Longitude
2057,34.78333333333333,-86.55
2173,34.81666666666667,-87.98333333333333
2180,30.516666666666666,-87.7
2178,32.416666666666664,-85.91666666666667
2181,31.116666666666667,-87.55
2056,34.43333333333333,-86.68333333333334
2179,34.18333333333333,-87.45
2115,32.43333333333333,-85.75
2026,31.733333333333334,-110.05
2091,34.28333333333333,-91.35
2085,35.28333333333333,-90.45
2084,34.78333333333333,-90.81666666666666
2215,38.266666666666666,-119.13333333333334
2189,35.11666666666667,-119.6
2187,37.36666666666667,-117.96666666666667
2191,37.63333333333333,-118.83333333333333
2218,40.8,-122.55
2149,37.78333333333333,-118.41666666666667
2197,40.81666666666667,-104.71666666666667
2068,42.43333333333333,-95.76666666666667
2092,37.13333333333333,-97.08333333333333
2094,39.7,-96.16666666666667
2093,39.78333333333333,-99.33333333333333
2005,37.1,-87.83333333333333
2002,45.416666666666664,-93.95
2032,33.38333333333333,-90.65
2086,33.083333333333336,-90.51666666666667
2117,48.3,-111.91666666666667
2121,47.516666666666666,-107.13333333333334
2119,47.05,-109.95
2118,48.43333333333333,-111.18333333333334
2001,40.85,-96.46666666666667
2145,36.36666666666667,-115.81666666666666
2141,36.266666666666666,-115.61666666666666
2020,46.766666666666666,-100.91666666666667
2072,43.733333333333334,-96.61666666666666
2075,35.06666666666667,-86.58333333333333
2106,33.63333333333333,-102.75
2105,33.55,-102.36666666666666
2200,31.55,-100.5
2202,34.016666666666666,-99.25
2138,37.666666666666664,-109.36666666666666
2135,41.93333333333333,-112.43333333333334
2136,41.81666666666667,-111.98333333333333
2150,41.333333333333336,-111.3
2125,38.15,-112.25
2130,37.78333333333333,-109.16666666666667
2128,37.63333333333333,-113.65
2126,39.36666666666667,-111.58333333333333
2165,39.983333333333334,-114
2160,41.78333333333333,-113.81666666666666
2164,38.6,-113.75
2166,38.31666666666667,-109.23333333333333
2127,39.2,-112.4
2155,40.18333333333333,-110.3
2140,37.45,-109.33333333333333
2129,38.35,-113.01666666666667
2133,41,-111.68333333333334
2134,40.36666666666667,-110.4
2137,39.65,-111.86666666666666
2157,37.86666666666667,-112.43333333333334
2132,39.53333333333333,-110.8
2159,37.1,-112.35
2154,40.38333333333333,-109.35
2158,37.516666666666666,-111.26666666666667
2163,39.233333333333334,-113.46666666666667
2139,38.016666666666666,-109.13333333333334
2018,42.06666666666667,-104.13333333333334
