Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-12-15,2057,31.2
2018-12-15,2091,39.7
2018-12-15,2085,40.7
2018-12-15,2084,44.0
2018-12-15,2215,4.4
2018-12-15,2189,12.8
2018-12-15,2187,9.5
2018-12-15,2191,3.0
2018-12-15,2218,6.0
2018-12-15,2149,7.4
2018-12-15,2197,9.8
2018-12-15,2173,2.4
2018-12-15,2068,35.0
2018-12-15,2092,21.8
2018-12-15,2094,35.8
2018-12-15,2093,23.2
2018-12-15,2005,50
2018-12-15,2002,1.9
2018-12-15,2032,53.7
2018-12-15,2086,33.4
2018-12-15,2117,19.0
2018-12-15,2121,27.1
2018-12-15,2180,21.1
2018-12-15,2119,15.7
2018-12-15,2118,11.2
2018-12-15,2001,43.0
2018-12-15,2145,16.6
2018-12-15,2141,12.7
2018-12-15,2020,16.4
2018-12-15,2072,16.5
2018-12-15,2075,45.0
2018-12-15,2106,18.1
2018-12-15,2105,14.4
2018-12-15,2178,40.8
2018-12-15,2200,37.3
2018-12-15,2202,34.8
2018-12-15,2138,10.3
2018-12-15,2135,26.3
2018-12-15,2136,34.0
2018-12-15,2150,11.9
2018-12-15,2125,12.0
2018-12-15,2130,13.8
2018-12-15,2128,16.1
2018-12-15,2126,6.7
2018-12-15,2181,33.3
2018-12-15,2165,14.6
2018-12-15,2160,7.2
2018-12-15,2164,31
2018-12-15,2166,10.1
2018-12-15,2127,10.7
2018-12-15,2155,10.7
2018-12-15,2140,18.6
2018-12-15,2129,15.3
2018-12-15,2133,28.9
2018-12-15,2134,6.2
2018-12-15,2056,46.2
2018-12-15,2137,28.8
2018-12-15,2157,6.0
2018-12-15,2132,4.4
2018-12-15,2159,4.0
2018-12-15,2154,6.6
2018-12-15,2158,2.7
2018-12-15,2163,18.3
2018-12-15,2139,12.0
2018-12-15,2018,2.3
2018-12-15,2179,33.9
2018-12-15,2115,12.8
2018-12-15,2026,12.2
