Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-05-14,2057,12.5
2018-05-14,2091,27.9
2018-05-14,2085,19.8
2018-05-14,2084,30.0
2018-05-14,2215,12.5
2018-05-14,2189,5.0
2018-05-14,2187,4.8
2018-05-14,2191,3.6
2018-05-14,2218,8.6
2018-05-14,2149,3.4
2018-05-14,2197,22.7
2018-05-14,2173,28.4
2018-05-14,2068,40.4
2018-05-14,2092,22.4
2018-05-14,2094,30.4
2018-05-14,2093,11.9
2018-05-14,2005,73
2018-05-14,2002,10.4
2018-05-14,2032,29.5
2018-05-14,2086,29.2
2018-05-14,2117,29.5
2018-05-14,2121,19.1
2018-05-14,2180,8.4
2018-05-14,2119,30.8
2018-05-14,2118,23.0
2018-05-14,2001,31.7
2018-05-14,2145,8.2
2018-05-14,2141,6.9
2018-05-14,2020,26.4
2018-05-14,2072,34.1
2018-05-14,2075,15.0
2018-05-14,2106,4.6
2018-05-14,2105,3.7
2018-05-14,2178,28.4
2018-05-14,2200,26.6
2018-05-14,2202,18.6
2018-05-14,2138,7.7
2018-05-14,2135,17.5
2018-05-14,2136,32.0
2018-05-14,2150,16.8
2018-05-14,2125,11.9
2018-05-14,2130,14.3
2018-05-14,2128,8.5
2018-05-14,2126,5.3
2018-05-14,2181,10.1
2018-05-14,2165,31.3
2018-05-14,2160,9.3
2018-05-14,2164,52
2018-05-14,2166,4.5
2018-05-14,2127,15.4
2018-05-14,2155,8.0
2018-05-14,2140,8.3
2018-05-14,2129,19.8
2018-05-14,2133,14.5
2018-05-14,2134,2.9
2018-05-14,2056,18.1
2018-05-14,2137,19.3
2018-05-14,2157,4.7
2018-05-14,2132,1.1
2018-05-14,2159,0.3
2018-05-14,2154,8.3
2018-05-14,2158,1.1
2018-05-14,2163,22.2
2018-05-14,2139,10.5
2018-05-14,2018,9.3
2018-05-14,2179,9.2
2018-05-14,2115,2.0
2018-05-14,2026,2.5
