Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-06-17,2057,13.5
2019-06-17,2091,23.9
2019-06-17,2085,32.9
2019-06-17,2084,37.7
2019-06-17,2215,5.3
2019-06-17,2189,4.9
2019-06-17,2187,7.7
2019-06-17,2191,2.5
2019-06-17,2218,0.9
2019-06-17,2149,3.8
2019-06-17,2197,16.4
2019-06-17,2173,0.2
2019-06-17,2068,20.2
2019-06-17,2092,22.8
2019-06-17,2094,28.7
2019-06-17,2093,14.0
2019-06-17,2005,76
2019-06-17,2002,2.8
2019-06-17,2032,29.1
2019-06-17,2086,26.9
2019-06-17,2117,11.9
2019-06-17,2121,9.1
2019-06-17,2180,12.0
2019-06-17,2119,26.4
2019-06-17,2118,10.5
2019-06-17,2001,25.7
2019-06-17,2145,8.5
2019-06-17,2141,10.6
2019-06-17,2020,23.1
2019-06-17,2072,17.5
2019-06-17,2075,15.2
2019-06-17,2106,9.3
2019-06-17,2105,6.4
2019-06-17,2178,35.1
2019-06-17,2200,24.6
2019-06-17,2202,32.9
2019-06-17,2138,8.8
2019-06-17,2135,16.6
2019-06-17,2136,38.8
2019-06-17,2150,14.7
2019-06-17,2125,8.5
2019-06-17,2130,9.6
2019-06-17,2128,7.4
2019-06-17,2126,6.0
2019-06-17,2181,16.6
2019-06-17,2165,21.2
2019-06-17,2160,5.2
2019-06-17,2164,67
2019-06-17,2166,6.2
2019-06-17,2127,6.0
2019-06-17,2155,17.2
2019-06-17,2140,10.8
2019-06-17,2129,10.2
2019-06-17,2133,20.7
2019-06-17,2134,10.3
2019-06-17,2056,19.1
2019-06-17,2137,16.5
2019-06-17,2157,5.1
2019-06-17,2132,2.7
2019-06-17,2159,1.3
2019-06-17,2154,5.2
2019-06-17,2158,1.9
2019-06-17,2163,13.9
2019-06-17,2139,13.7
2019-06-17,2018,13.3
2019-06-17,2179,10.6
2019-06-17,2115,5.0
2019-06-17,2026,3.3
