Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-01-09,2057,36.7
2018-01-09,2091,38.2
2018-01-09,2085,40.2
2018-01-09,2084,38.8
2018-01-09,2215,11.5
2018-01-09,2189,19.7
2018-01-09,2187,12.1
2018-01-09,2191,5.9
2018-01-09,2218,20.1
2018-01-09,2149,1.7
2018-01-09,2197,12.5
2018-01-09,2173,39.5
2018-01-09,2068,19.3
2018-01-09,2092,21.0
2018-01-09,2094,19.7
2018-01-09,2093,10.0
2018-01-09,2005,33
2018-01-09,2002,2.1
2018-01-09,2032,51.6
2018-01-09,2086,31.0
2018-01-09,2117,18.0
2018-01-09,2121,14.4
2018-01-09,2180,18.0
2018-01-09,2119,22.2
2018-01-09,2118,11.7
2018-01-09,2001,17.8
2018-01-09,2145,27.4
2018-01-09,2141,21.7
2018-01-09,2020,10.0
2018-01-09,2072,13.6
2018-01-09,2075,41.0
2018-01-09,2106,5.4
2018-01-09,2105,4.1
2018-01-09,2178,37.7
2018-01-09,2200,28.9
2018-01-09,2202,10.6
2018-01-09,2138,3.3
2018-01-09,2135,25.0
2018-01-09,2136,34.0
2018-01-09,2150,9.1
2018-01-09,2125,4.6
2018-01-09,2130,3.9
2018-01-09,2128,17.2
2018-01-09,2126,17.1
2018-01-09,2181,28.9
2018-01-09,2165,19.0
2018-01-09,2160,9.7
2018-01-09,2164,40
2018-01-09,2166,16.1
2018-01-09,2127,12.8
2018-01-09,2155,9.8
2018-01-09,2140,10.2
2018-01-09,2129,28.8
2018-01-09,2133,14.7
2018-01-09,2134,4.7
2018-01-09,2056,44.7
2018-01-09,2137,10.9
2018-01-09,2157,3.2
2018-01-09,2132,0.0
2018-01-09,2159,6.4
2018-01-09,2154,2.1
2018-01-09,2158,0.1
2018-01-09,2163,11.5
2018-01-09,2139,7.5
2018-01-09,2018,2.2
2018-01-09,2179,29.2
2018-01-09,2115,11.1
2018-01-09,2026,2.8
