Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-08-21,2057,26.4
2018-08-21,2091,36.0
2018-08-21,2085,37.1
2018-08-21,2084,29.0
2018-08-21,2215,7.8
2018-08-21,2189,2.5
2018-08-21,2187,6.5
2018-08-21,2191,0.4
2018-08-21,2218,0.0
2018-08-21,2149,0.9
2018-08-21,2197,10.3
2018-08-21,2173,1.1
2018-08-21,2068,39.2
2018-08-21,2092,22.6
2018-08-21,2094,38.5
2018-08-21,2093,33.9
2018-08-21,2005,77
2018-08-21,2002,0.7
2018-08-21,2032,62.3
2018-08-21,2086,31.6
2018-08-21,2117,18.4
2018-08-21,2121,10.7
2018-08-21,2180,21.6
2018-08-21,2119,25.5
2018-08-21,2118,6.5
2018-08-21,2001,36.8
2018-08-21,2145,4.9
2018-08-21,2141,7.3
2018-08-21,2020,28.1
2018-08-21,2072,19.0
2018-08-21,2075,27.9
2018-08-21,2106,15.2
2018-08-21,2105,8.3
2018-08-21,2178,39.0
2018-08-21,2200,25.6
2018-08-21,2202,14.5
2018-08-21,2138,2.9
2018-08-21,2135,7.6
2018-08-21,2136,15.0
2018-08-21,2150,1.4
2018-08-21,2125,8.0
2018-08-21,2130,4.1
2018-08-21,2128,9.8
2018-08-21,2126,13.4
2018-08-21,2181,30.3
2018-08-21,2165,10.1
2018-08-21,2160,0.7
2018-08-21,2164,86
2018-08-21,2166,16.1
2018-08-21,2127,4.4
2018-08-21,2155,7.3
2018-08-21,2140,6.3
2018-08-21,2129,10.1
2018-08-21,2133,8.7
2018-08-21,2134,2.0
2018-08-21,2056,31.9
2018-08-21,2137,8.6
2018-08-21,2157,4.7
2018-08-21,2132,2.3
2018-08-21,2159,0.7
2018-08-21,2154,2.1
2018-08-21,2158,2.4
2018-08-21,2163,9.0
2018-08-21,2139,6.5
2018-08-21,2018,0.8
2018-08-21,2179,9.3
2018-08-21,2115,11.0
2018-08-21,2026,5.9
