Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-10-26,2057,30.0
2018-10-26,2091,38.4
2018-10-26,2085,40.6
2018-10-26,2084,41.4
2018-10-26,2215,2.3
2018-10-26,2189,2.5
2018-10-26,2187,6.4
2018-10-26,2191,0.5
2018-10-26,2218,0.2
2018-10-26,2149,3.2
2018-10-26,2197,16.3
2018-10-26,2173,14.6
2018-10-26,2068,38.1
2018-10-26,2092,22.5
2018-10-26,2094,36.9
2018-10-26,2093,30.9
2018-10-26,2005,58
2018-10-26,2002,9.3
2018-10-26,2032,54.0
2018-10-26,2086,31.9
2018-10-26,2117,20.4
2018-10-26,2121,19.9
2018-10-26,2180,20.2
2018-10-26,2119,18.2
2018-10-26,2118,11.2
2018-10-26,2001,33.9
2018-10-26,2145,4.2
2018-10-26,2141,9.2
2018-10-26,2020,24.3
2018-10-26,2072,26.9
2018-10-26,2075,38.4
2018-10-26,2106,21.6
2018-10-26,2105,15.9
2018-10-26,2178,39.6
2018-10-26,2200,39.7
2018-10-26,2202,39.8
2018-10-26,2138,17.3
2018-10-26,2135,30.7
2018-10-26,2136,33.3
2018-10-26,2150,15.8
2018-10-26,2125,21.2
2018-10-26,2130,18.0
2018-10-26,2128,19.9
2018-10-26,2126,12.2
2018-10-26,2181,29.6
2018-10-26,2165,20.7
2018-10-26,2160,7.3
2018-10-26,2164,49
2018-10-26,2166,19.2
2018-10-26,2127,11.6
2018-10-26,2155,21.6
2018-10-26,2140,21.7
2018-10-26,2129,26.1
2018-10-26,2133,28.2
2018-10-26,2134,17.4
2018-10-26,2056,35.6
2018-10-26,2137,20.3
2018-10-26,2157,17.8
2018-10-26,2132,7.5
2018-10-26,2159,5.2
2018-10-26,2154,11.0
2018-10-26,2158,9.0
2018-10-26,2163,19.3
2018-10-26,2139,20.3
2018-10-26,2018,7.0
2018-10-26,2179,27.6
2018-10-26,2115,9.8
2018-10-26,2026,16.6
