Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-11-26,2057,27.7
2019-11-26,2091,35.2
2019-11-26,2085,40.4
2019-11-26,2084,42.9
2019-11-26,2215,1.6
2019-11-26,2189,8.2
2019-11-26,2187,5.0
2019-11-26,2191,0.2
2019-11-26,2218,0.0
2019-11-26,2149,0.0
2019-11-26,2197,12.0
2019-11-26,2173,33.6
2019-11-26,2068,38.3
2019-11-26,2092,22.5
2019-11-26,2094,27.5
2019-11-26,2093,19.2
2019-11-26,2005,50
2019-11-26,2002,11.3
2019-11-26,2032,53.3
2019-11-26,2086,31.9
2019-11-26,2117,32.3
2019-11-26,2121,28.0
2019-11-26,2180,16.9
2019-11-26,2119,27.6
2019-11-26,2118,31.3
2019-11-26,2001,27.0
2019-11-26,2145,14.6
2019-11-26,2141,10.1
2019-11-26,2020,23.9
2019-11-26,2072,30.0
2019-11-26,2075,36.2
2019-11-26,2106,13.9
2019-11-26,2105,5.2
2019-11-26,2178,33.5
2019-11-26,2200,13.3
2019-11-26,2202,25.7
2019-11-26,2138,14.3
2019-11-26,2135,22.4
2019-11-26,2136,27.8
2019-11-26,2150,7.7
2019-11-26,2125,16.7
2019-11-26,2130,20.8
2019-11-26,2128,20.2
2019-11-26,2126,7.1
2019-11-26,2181,26.1
2019-11-26,2165,19.3
2019-11-26,2160,7.9
2019-11-26,2164,30
2019-11-26,2166,16.9
2019-11-26,2127,12.6
2019-11-26,2155,13.6
2019-11-26,2140,20.4
2019-11-26,2129,23.0
2019-11-26,2133,24.5
2019-11-26,2134,11.7
2019-11-26,2056,39.1
2019-11-26,2137,19.2
2019-11-26,2157,17.1
2019-11-26,2132,7.3
2019-11-26,2159,4.7
2019-11-26,2154,12.1
2019-11-26,2158,6.4
2019-11-26,2163,17.6
2019-11-26,2139,20.0
2019-11-26,2018,8.2
2019-11-26,2179,31.5
2019-11-26,2115,10.8
2019-11-26,2026,15.3
