Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-06-16,2057,14.3
2019-06-16,2091,24.6
2019-06-16,2085,33.8
2019-06-16,2084,38.2
2019-06-16,2215,5.6
2019-06-16,2189,5.1
2019-06-16,2187,8.0
2019-06-16,2191,2.9
2019-06-16,2218,0.3
2019-06-16,2149,4.0
2019-06-16,2197,12.7
2019-06-16,2173,0.1
2019-06-16,2068,21.0
2019-06-16,2092,22.8
2019-06-16,2094,31.0
2019-06-16,2093,15.2
2019-06-16,2005,75
2019-06-16,2002,2.9
2019-06-16,2032,32.3
2019-06-16,2086,25.3
2019-06-16,2117,13.6
2019-06-16,2121,8.9
2019-06-16,2180,13.1
2019-06-16,2119,30.4
2019-06-16,2118,10.8
2019-06-16,2001,27.1
2019-06-16,2145,8.8
2019-06-16,2141,11.7
2019-06-16,2020,23.4
2019-06-16,2072,17.3
2019-06-16,2075,16.0
2019-06-16,2106,9.9
2019-06-16,2105,6.5
2019-06-16,2178,35.7
2019-06-16,2200,25.1
2019-06-16,2202,35.9
2019-06-16,2138,8.9
2019-06-16,2135,17.0
2019-06-16,2136,39.4
2019-06-16,2150,14.8
2019-06-16,2125,7.9
2019-06-16,2130,9.8
2019-06-16,2128,7.4
2019-06-16,2126,6.0
2019-06-16,2181,18.2
2019-06-16,2165,22.5
2019-06-16,2160,5.6
2019-06-16,2164,73
2019-06-16,2166,6.2
2019-06-16,2127,6.1
2019-06-16,2155,19.5
2019-06-16,2140,11.1
2019-06-16,2129,10.4
2019-06-16,2133,21.2
2019-06-16,2134,9.7
2019-06-16,2056,19.9
2019-06-16,2137,16.5
2019-06-16,2157,5.2
2019-06-16,2132,1.2
2019-06-16,2159,0.9
2019-06-16,2154,5.6
2019-06-16,2158,1.8
2019-06-16,2163,13.8
2019-06-16,2139,10.3
2019-06-16,2018,11.3
2019-06-16,2179,10.9
2019-06-16,2115,4.8
2019-06-16,2026,3.3
