Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-09-02,2057,13.7
2019-09-02,2091,24.2
2019-09-02,2085,25.0
2019-09-02,2084,36.5
2019-09-02,2215,1.5
2019-09-02,2189,3.3
2019-09-02,2187,5.0
2019-09-02,2191,0.5
2019-09-02,2218,0.7
2019-09-02,2149,0.2
2019-09-02,2197,5.9
2019-09-02,2173,0.0
2019-09-02,2068,32.7
2019-09-02,2092,22.9
2019-09-02,2094,34.0
2019-09-02,2093,12.8
2019-09-02,2005,80
2019-09-02,2002,8.5
2019-09-02,2032,36.8
2019-09-02,2086,23.1
2019-09-02,2117,11.8
2019-09-02,2121,12.3
2019-09-02,2180,9.6
2019-09-02,2119,12.8
2019-09-02,2118,9.4
2019-09-02,2001,31.2
2019-09-02,2145,4.1
2019-09-02,2141,1.0
2019-09-02,2020,13.0
2019-09-02,2072,18.0
2019-09-02,2075,17.2
2019-09-02,2106,5.1
2019-09-02,2105,7.5
2019-09-02,2178,24.1
2019-09-02,2200,14.3
2019-09-02,2202,23.5
2019-09-02,2138,6.9
2019-09-02,2135,8.5
2019-09-02,2136,23.0
2019-09-02,2150,0.9
2019-09-02,2125,4.1
2019-09-02,2130,4.9
2019-09-02,2128,6.7
2019-09-02,2126,3.8
2019-09-02,2181,26.5
2019-09-02,2165,8.9
2019-09-02,2160,2.8
2019-09-02,2164,78
2019-09-02,2166,4.0
2019-09-02,2127,3.7
2019-09-02,2155,5.3
2019-09-02,2140,7.0
2019-09-02,2129,6.2
2019-09-02,2133,9.5
2019-09-02,2134,2.7
2019-09-02,2056,21.9
2019-09-02,2137,9.0
2019-09-02,2157,3.8
2019-09-02,2132,0.4
2019-09-02,2159,0.7
2019-09-02,2154,1.7
2019-09-02,2158,3.6
2019-09-02,2163,9.0
2019-09-02,2139,5.9
2019-09-02,2018,3.4
2019-09-02,2179,15.5
2019-09-02,2115,10.7
2019-09-02,2026,9.8
