Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-11-22,2057,27.3
2019-11-22,2091,34.7
2019-11-22,2085,40.5
2019-11-22,2084,42.2
2019-11-22,2215,1.4
2019-11-22,2189,9.1
2019-11-22,2187,4.5
2019-11-22,2191,0.0
2019-11-22,2218,0.0
2019-11-22,2149,0.0
2019-11-22,2197,12.2
2019-11-22,2173,36.1
2019-11-22,2068,39.5
2019-11-22,2092,22.5
2019-11-22,2094,27.8
2019-11-22,2093,13.6
2019-11-22,2005,50
2019-11-22,2002,12.4
2019-11-22,2032,49.1
2019-11-22,2086,30.5
2019-11-22,2117,31.9
2019-11-22,2121,31.3
2019-11-22,2180,14.9
2019-11-22,2119,31.4
2019-11-22,2118,31.1
2019-11-22,2001,26.8
2019-11-22,2145,13.5
2019-11-22,2141,13.2
2019-11-22,2020,23.7
2019-11-22,2072,29.9
2019-11-22,2075,35.4
2019-11-22,2106,13.8
2019-11-22,2105,5.1
2019-11-22,2178,32.8
2019-11-22,2200,13.3
2019-11-22,2202,27.9
2019-11-22,2138,16.4
2019-11-22,2135,22.5
2019-11-22,2136,28.5
2019-11-22,2150,10.5
2019-11-22,2125,22.3
2019-11-22,2130,23.6
2019-11-22,2128,22.9
2019-11-22,2126,9.3
2019-11-22,2181,21.8
2019-11-22,2165,22.8
2019-11-22,2160,8.0
2019-11-22,2164,39
2019-11-22,2166,18.4
2019-11-22,2127,16.9
2019-11-22,2155,17.5
2019-11-22,2140,23.0
2019-11-22,2129,28.5
2019-11-22,2133,24.8
2019-11-22,2134,14.8
2019-11-22,2056,33.7
2019-11-22,2137,16.5
2019-11-22,2157,19.8
2019-11-22,2132,9.6
2019-11-22,2159,6.5
2019-11-22,2154,15.8
2019-11-22,2158,6.7
2019-11-22,2163,20.4
2019-11-22,2139,21.8
2019-11-22,2018,7.5
2019-11-22,2179,28.5
2019-11-22,2115,9.4
2019-11-22,2026,21.6
