Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-01-18,2057,22.7
2018-01-18,2091,41.9
2018-01-18,2085,35.4
2018-01-18,2084,36.9
2018-01-18,2215,8.0
2018-01-18,2189,14.6
2018-01-18,2187,11.9
2018-01-18,2191,5.4
2018-01-18,2218,20.2
2018-01-18,2149,3.0
2018-01-18,2197,10.0
2018-01-18,2173,32.8
2018-01-18,2068,15.7
2018-01-18,2092,20.0
2018-01-18,2094,18.9
2018-01-18,2093,9.9
2018-01-18,2005,37
2018-01-18,2002,3.5
2018-01-18,2032,50.6
2018-01-18,2086,27.4
2018-01-18,2117,16.0
2018-01-18,2121,11.5
2018-01-18,2180,11.4
2018-01-18,2119,18.0
2018-01-18,2118,11.2
2018-01-18,2001,14.7
2018-01-18,2145,18.0
2018-01-18,2141,13.5
2018-01-18,2020,9.4
2018-01-18,2072,12.9
2018-01-18,2075,38.9
2018-01-18,2106,4.4
2018-01-18,2105,3.3
2018-01-18,2178,36.5
2018-01-18,2200,27.4
2018-01-18,2202,10.2
2018-01-18,2138,3.2
2018-01-18,2135,28.7
2018-01-18,2136,40.3
2018-01-18,2150,9.5
2018-01-18,2125,14.7
2018-01-18,2130,4.0
2018-01-18,2128,15.8
2018-01-18,2126,11.4
2018-01-18,2181,25.6
2018-01-18,2165,18.1
2018-01-18,2160,14.9
2018-01-18,2164,35
2018-01-18,2166,9.5
2018-01-18,2127,11.4
2018-01-18,2155,8.7
2018-01-18,2140,16.0
2018-01-18,2129,25.3
2018-01-18,2133,15.8
2018-01-18,2134,6.7
2018-01-18,2056,39.4
2018-01-18,2137,19.1
2018-01-18,2157,3.1
2018-01-18,2132,3.9
2018-01-18,2159,4.6
2018-01-18,2154,3.2
2018-01-18,2158,0.3
2018-01-18,2163,12.8
2018-01-18,2139,8.2
2018-01-18,2018,2.1
2018-01-18,2179,21.4
2018-01-18,2115,11.1
2018-01-18,2026,3.1
