Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-11-26,2057,27.3
2018-11-26,2091,39.3
2018-11-26,2085,40.6
2018-11-26,2084,42.0
2018-11-26,2215,12.1
2018-11-26,2189,4.6
2018-11-26,2187,4.9
2018-11-26,2191,0.1
2018-11-26,2218,2.5
2018-11-26,2149,1.1
2018-11-26,2197,12.7
2018-11-26,2173,5.3
2018-11-26,2068,41.8
2018-11-26,2092,22.0
2018-11-26,2094,35.4
2018-11-26,2093,15.7
2018-11-26,2005,47
2018-11-26,2002,10.5
2018-11-26,2032,52.4
2018-11-26,2086,30.9
2018-11-26,2117,21.3
2018-11-26,2121,25.0
2018-11-26,2180,21.0
2018-11-26,2119,25.4
2018-11-26,2118,9.8
2018-11-26,2001,30.4
2018-11-26,2145,3.2
2018-11-26,2141,4.1
2018-11-26,2020,28.7
2018-11-26,2072,25.9
2018-11-26,2075,37.8
2018-11-26,2106,12.8
2018-11-26,2105,12.4
2018-11-26,2178,37.9
2018-11-26,2200,30.4
2018-11-26,2202,27.6
2018-11-26,2138,13.4
2018-11-26,2135,28.1
2018-11-26,2136,34.8
2018-11-26,2150,12.2
2018-11-26,2125,11.1
2018-11-26,2130,13.7
2018-11-26,2128,11.3
2018-11-26,2126,6.8
2018-11-26,2181,29.4
2018-11-26,2165,14.1
2018-11-26,2160,6.9
2018-11-26,2164,29
2018-11-26,2166,7.8
2018-11-26,2127,8.2
2018-11-26,2155,10.9
2018-11-26,2140,14.3
2018-11-26,2129,17.8
2018-11-26,2133,31.9
2018-11-26,2134,6.8
2018-11-26,2056,39.8
2018-11-26,2137,16.1
2018-11-26,2157,6.7
2018-11-26,2132,1.5
2018-11-26,2159,0.4
2018-11-26,2154,7.0
2018-11-26,2158,3.1
2018-11-26,2163,13.2
2018-11-26,2139,11.5
2018-11-26,2018,7.6
2018-11-26,2179,28.4
2018-11-26,2115,11.4
2018-11-26,2026,6.4
