Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-03-19,2057,21.1
2019-03-19,2091,36.2
2019-03-19,2085,39.4
2019-03-19,2084,42.9
2019-03-19,2215,15.0
2019-03-19,2189,16.4
2019-03-19,2187,14.7
2019-03-19,2191,8.3
2019-03-19,2218,0.8
2019-03-19,2149,11.1
2019-03-19,2197,20.6
2019-03-19,2173,0.0
2019-03-19,2068,23.0
2019-03-19,2092,22.2
2019-03-19,2094,36.1
2019-03-19,2093,34.4
2019-03-19,2005,48
2019-03-19,2002,8.1
2019-03-19,2032,48.1
2019-03-19,2086,31.4
2019-03-19,2117,21.2
2019-03-19,2121,14.5
2019-03-19,2180,11.2
2019-03-19,2119,18.3
2019-03-19,2118,12.6
2019-03-19,2001,39.8
2019-03-19,2145,21.5
2019-03-19,2141,14.3
2019-03-19,2020,11.9
2019-03-19,2072,17.2
2019-03-19,2075,30.6
2019-03-19,2106,18.5
2019-03-19,2105,13.5
2019-03-19,2178,36.0
2019-03-19,2200,30.1
2019-03-19,2202,31.6
2019-03-19,2138,25.8
2019-03-19,2135,36.0
2019-03-19,2136,36.5
2019-03-19,2150,13.2
2019-03-19,2125,21.8
2019-03-19,2130,29.3
2019-03-19,2128,19.9
2019-03-19,2126,20.7
2019-03-19,2181,25.9
2019-03-19,2165,20.6
2019-03-19,2160,18.6
2019-03-19,2164,46
2019-03-19,2166,36.2
2019-03-19,2127,15.4
2019-03-19,2155,39.2
2019-03-19,2140,24.5
2019-03-19,2129,33.0
2019-03-19,2133,35.8
2019-03-19,2134,15.9
2019-03-19,2056,38.0
2019-03-19,2137,32.7
2019-03-19,2157,21.2
2019-03-19,2132,11.1
2019-03-19,2159,3.4
2019-03-19,2154,25.7
2019-03-19,2158,6.2
2019-03-19,2163,20.9
2019-03-19,2139,27.5
2019-03-19,2018,15.6
2019-03-19,2179,32.3
2019-03-19,2115,10.3
2019-03-19,2026,14.9
