Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-12-06,2057,23.6
2018-12-06,2091,39.0
2018-12-06,2085,39.8
2018-12-06,2084,42.0
2018-12-06,2215,10.5
2018-12-06,2189,18.0
2018-12-06,2187,10.6
2018-12-06,2191,2.3
2018-12-06,2218,3.5
2018-12-06,2149,8.6
2018-12-06,2197,10.2
2018-12-06,2173,1.2
2018-12-06,2068,40.6
2018-12-06,2092,21.9
2018-12-06,2094,37.2
2018-12-06,2093,29.0
2018-12-06,2005,44
2018-12-06,2002,8.8
2018-12-06,2032,49.5
2018-12-06,2086,29.9
2018-12-06,2117,18.9
2018-12-06,2121,23.4
2018-12-06,2180,17.8
2018-12-06,2119,14.5
2018-12-06,2118,8.1
2018-12-06,2001,43.6
2018-12-06,2145,18.6
2018-12-06,2141,10.2
2018-12-06,2020,16.4
2018-12-06,2072,17.7
2018-12-06,2075,37.8
2018-12-06,2106,10.9
2018-12-06,2105,11.9
2018-12-06,2178,36.6
2018-12-06,2200,27.9
2018-12-06,2202,23.6
2018-12-06,2138,14.7
2018-12-06,2135,28.8
2018-12-06,2136,35.9
2018-12-06,2150,12.2
2018-12-06,2125,13.4
2018-12-06,2130,13.9
2018-12-06,2128,13.2
2018-12-06,2126,7.2
2018-12-06,2181,27.9
2018-12-06,2165,12.8
2018-12-06,2160,4.4
2018-12-06,2164,30
2018-12-06,2166,8.9
2018-12-06,2127,13.4
2018-12-06,2155,11.2
2018-12-06,2140,20.1
2018-12-06,2129,16.6
2018-12-06,2133,32.1
2018-12-06,2134,7.1
2018-12-06,2056,37.1
2018-12-06,2137,30.2
2018-12-06,2157,8.1
2018-12-06,2132,4.3
2018-12-06,2159,5.6
2018-12-06,2154,7.5
2018-12-06,2158,2.2
2018-12-06,2163,19.3
2018-12-06,2139,17.0
2018-12-06,2018,2.6
2018-12-06,2179,30.6
2018-12-06,2115,10.3
2018-12-06,2026,9.0
