Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-02-27,2057,34.5
2018-02-27,2091,41.6
2018-02-27,2085,40.4
2018-02-27,2084,42.9
2018-02-27,2215,4.6
2018-02-27,2189,7.0
2018-02-27,2187,9.5
2018-02-27,2191,0.2
2018-02-27,2218,13.6
2018-02-27,2149,1.4
2018-02-27,2197,10.6
2018-02-27,2173,39.2
2018-02-27,2068,18.5
2018-02-27,2092,20.9
2018-02-27,2094,29.2
2018-02-27,2093,23.9
2018-02-27,2005,50
2018-02-27,2002,2.6
2018-02-27,2032,55.7
2018-02-27,2086,32.6
2018-02-27,2117,13.7
2018-02-27,2121,9.5
2018-02-27,2180,12.2
2018-02-27,2119,14.7
2018-02-27,2118,10.6
2018-02-27,2001,31.6
2018-02-27,2145,8.2
2018-02-27,2141,7.2
2018-02-27,2020,8.9
2018-02-27,2072,13.3
2018-02-27,2075,42.8
2018-02-27,2106,10.5
2018-02-27,2105,3.9
2018-02-27,2178,38.6
2018-02-27,2200,31.8
2018-02-27,2202,21.6
2018-02-27,2138,3.6
2018-02-27,2135,20.0
2018-02-27,2136,33.2
2018-02-27,2150,8.2
2018-02-27,2125,13.8
2018-02-27,2130,14.3
2018-02-27,2128,15.7
2018-02-27,2126,16.4
2018-02-27,2181,29.3
2018-02-27,2165,14.9
2018-02-27,2160,5.6
2018-02-27,2164,36
2018-02-27,2166,13.7
2018-02-27,2127,11.7
2018-02-27,2155,8.1
2018-02-27,2140,16.2
2018-02-27,2129,19.7
2018-02-27,2133,18.9
2018-02-27,2134,7.6
2018-02-27,2056,46.9
2018-02-27,2137,18.6
2018-02-27,2157,3.7
2018-02-27,2132,4.2
2018-02-27,2159,4.4
2018-02-27,2154,9.3
2018-02-27,2158,5.2
2018-02-27,2163,20.7
2018-02-27,2139,13.6
2018-02-27,2018,14.3
2018-02-27,2179,26.4
2018-02-27,2115,11.4
2018-02-27,2026,13.6
